#
 0,         smart_high_dim,30,  0.17,  0.06, * ------------------|----------------   ,  0.17,  0.17,  0.17,  0.22,  0.94
 0,         smart_high_dim,40,  0.17,  0.00, *----------         |                   ,  0.17,  0.17,  0.17,  0.17,  0.40
 0,         smart_high_dim,50,  0.17,  0.00, *-                  |                   ,  0.17,  0.17,  0.17,  0.17,  0.22
#
 1,         smart_high_dim,20,  0.20,  0.06,  *------------------|---                ,  0.17,  0.17,  0.20,  0.22,  0.67
#
 2,          dumb_high_dim,40,  0.22,  0.02, - *-                |                   ,  0.17,  0.21,  0.22,  0.22,  0.25
 2,          dumb_high_dim,20,  0.22,  0.17,  -*       ----      |                   ,  0.20,  0.22,  0.22,  0.39,  0.47
 2,          dumb_high_dim,30,  0.22,  0.02, --*-                |                   ,  0.17,  0.22,  0.22,  0.24,  0.26
 2,          dumb_high_dim,50,  0.22,  0.03, - *-------          |                   ,  0.17,  0.19,  0.22,  0.22,  0.39
#
 3,                 asIs,1023,  0.83,  0.47,    --------------   |           *       ,  0.24,  0.53,  0.83,  1.00,  1.00
