#
 0,         smart_high_dim,50,  0.13,  0.02,   -*-               |                   ,  0.11,  0.12,  0.13,  0.14,  0.17
 0,         smart_high_dim,40,  0.13,  0.03,   -*-               |                   ,  0.11,  0.12,  0.13,  0.15,  0.19
 0,          dumb_high_dim,30,  0.14,  0.06,  - * -              |                   ,  0.09,  0.11,  0.14,  0.17,  0.20
 0,          dumb_high_dim,40,  0.14,  0.04,   -*--              |                   ,  0.11,  0.12,  0.14,  0.16,  0.20
#
 1,         smart_high_dim,20,  0.15,  0.05,  -- *-------        |                   ,  0.08,  0.13,  0.15,  0.18,  0.36
 1,         smart_high_dim,30,  0.15,  0.02,   - *--             |                   ,  0.11,  0.14,  0.15,  0.16,  0.22
 1,          dumb_high_dim,50,  0.15,  0.01,    -*               |                   ,  0.12,  0.15,  0.15,  0.16,  0.19
#
 2,          dumb_high_dim,20,  0.17,  0.04,    - *--            |                   ,  0.13,  0.16,  0.17,  0.20,  0.26
#
 3,                  asIs,500,  0.50,  0.31,       ------       *|    -------        ,  0.21,  0.34,  0.50,  0.65,  0.81
