#
 0,          dumb_high_dim,50,  0.17,  0.05,     --- * ----      |                   ,  0.11,  0.15,  0.17,  0.20,  0.25
#
 1,          dumb_high_dim,40,  0.22,  0.07,        --   * -     |                   ,  0.16,  0.19,  0.22,  0.25,  0.27
 1,          dumb_high_dim,20,  0.22,  0.08,       ---   *       |                   ,  0.15,  0.18,  0.22,  0.25,  0.26
 1,          dumb_high_dim,30,  0.24,  0.08,      ---     *-     |                   ,  0.13,  0.17,  0.24,  0.26,  0.27
#
 2,         smart_high_dim,40,  0.27,  0.00,           -----*    |                   ,  0.20,  0.27,  0.27,  0.27,  0.28
 2,         smart_high_dim,30,  0.27,  0.01,             -- *    |                   ,  0.23,  0.26,  0.27,  0.27,  0.29
 2,         smart_high_dim,50,  0.27,  0.02,       -------- *    |                   ,  0.14,  0.26,  0.27,  0.27,  0.28
 2,         smart_high_dim,20,  0.27,  0.03,          ----- *-   |                   ,  0.18,  0.26,  0.27,  0.29,  0.30
#
 3,                asIs,53662,  0.37,  0.02,                    -|*--                ,  0.34,  0.36,  0.37,  0.38,  0.42
