#
 0,         smart_high_dim,50,  0.31,  0.01, *                   |                   ,  0.31,  0.31,  0.31,  0.32,  0.32
 0,         smart_high_dim,40,  0.31,  0.00, *                   |                   ,  0.31,  0.31,  0.31,  0.32,  0.32
 0,         smart_high_dim,30,  0.32,  0.01, *                   |                   ,  0.31,  0.31,  0.32,  0.32,  0.33
 0,          dumb_high_dim,40,  0.32,  0.01, *                   |                   ,  0.31,  0.32,  0.32,  0.33,  0.33
 0,         smart_high_dim,20,  0.32,  0.01, *----------------   |                   ,  0.31,  0.31,  0.32,  0.32,  0.60
 0,          dumb_high_dim,50,  0.32,  0.00, *                   |                   ,  0.31,  0.32,  0.32,  0.32,  0.33
 0,          dumb_high_dim,30,  0.32,  0.01,  *                  |                   ,  0.31,  0.32,  0.32,  0.33,  0.33
 0,          dumb_high_dim,20,  0.33,  0.01, -*                  |                   ,  0.32,  0.32,  0.33,  0.33,  0.33
#
 1,                 asIs,4608,  0.62,  0.34,  ----             * |    -------------  ,  0.33,  0.40,  0.62,  0.74,  0.96
