#
 0,          dumb_high_dim,50,  0.08,  0.03,   *-                |                   ,  0.06,  0.07,  0.08,  0.10,  0.15
 0,         smart_high_dim,50,  0.08,  0.03,   *------           |                   ,  0.03,  0.05,  0.08,  0.09,  0.25
#
 1,         smart_high_dim,40,  0.09,  0.18, - *      ---        |                   ,  0.03,  0.08,  0.09,  0.26,  0.33
 1,         smart_high_dim,30,  0.10,  0.19,   *      -----------|------------       ,  0.06,  0.07,  0.10,  0.26,  0.84
 1,          dumb_high_dim,40,  0.10,  0.02,  - *-------         |                   ,  0.07,  0.10,  0.10,  0.12,  0.31
 1,          dumb_high_dim,30,  0.11,  0.03,   -*-               |                   ,  0.08,  0.10,  0.11,  0.13,  0.17
#
 2,          dumb_high_dim,20,  0.12,  0.03,   -*----------      |                   ,  0.09,  0.10,  0.12,  0.14,  0.37
#
 3,         smart_high_dim,20,  0.23,  0.62,  --     *           |       -----       ,  0.08,  0.11,  0.23,  0.72,  0.83
#
 4,                 asIs,3840,  0.85,  0.04,                     |            * ---- ,  0.84,  0.84,  0.85,  0.88,  0.99
