#
 0,         smart_high_dim,50,  0.24,  0.02,               -*----|---                ,  0.22,  0.23,  0.24,  0.25,  0.38
 0,         smart_high_dim,40,  0.25,  0.02,               - *---|--                 ,  0.22,  0.24,  0.25,  0.25,  0.36
 0,         smart_high_dim,30,  0.25,  0.01,               - *---|-                  ,  0.23,  0.24,  0.25,  0.25,  0.35
#
 1,          dumb_high_dim,40,  0.28,  0.04,                 - * |--                 ,  0.25,  0.27,  0.28,  0.31,  0.35
#
 2,          dumb_high_dim,20,  0.30,  0.04,                 -- *|---------          ,  0.26,  0.28,  0.30,  0.32,  0.47
 2,          dumb_high_dim,50,  0.30,  0.04,                --- *|------             ,  0.24,  0.29,  0.30,  0.32,  0.42
 2,          dumb_high_dim,30,  0.30,  0.06,                 -- *|------             ,  0.25,  0.28,  0.30,  0.33,  0.42
 2,         smart_high_dim,20,  0.38,  0.14,                 -   |   * --            ,  0.25,  0.26,  0.38,  0.41,  0.43
#
 3,                asIs,86058,  0.47,  0.06,                    -|-------   *----    ,  0.29,  0.43,  0.47,  0.50,  0.55
